idx_a,idx_b,is_terna_a,is_terna_b,merge,municipality_a,municipality_b,mw_a,mw_b,province_a,province_b,province_norm_a,province_norm_b,reason,region_a,region_b,score,source_a,source_b,title_a,title_b,url_a,url_b
2,196,False,False,False,,,319.11,67.05,TA,BA,TA,BA,province_conflict:TA!=BA,Puglia,Puglia,0,puglia,puglia,Impianto FER agrivoltaico - Comune di Gravina in Puglia (BA) - 67.05 MW,Impianto FER agrivoltaico - Comune di Gravina in Puglia (BA) - 67.05 MW,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer
26,52,False,False,False,,,140.868,110.94,,,,,mw_conflict:140.868!=110.94,Sicilia,Sicilia,0,sicilia,sicilia,"IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P”, DI POTENZA COMPLESSIVA PARI A 140.868 KWP (95.000 KW IN IMMISSIONE)","IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 5”, DI POTENZA COMPLESSIVA PARI A 110.940 KWP (65.000 KW IN IMMISSIONE)",https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=854&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=860&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0
26,53,False,False,False,,,140.868,110.855,,,,,mw_conflict:140.868!=110.855,Sicilia,Sicilia,0,sicilia,sicilia,"IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P”, DI POTENZA COMPLESSIVA PARI A 140.868 KWP (95.000 KW IN IMMISSIONE)","IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 7”, DI POTENZA COMPLESSIVA PARI A 110.855,10 KWP (100.000 KW IN IMMISSIONE)",https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=854&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1332&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0
26,81,False,False,False,,,140.868,92.64,,,,,mw_conflict:140.868!=92.64,Sicilia,Sicilia,0,sicilia,sicilia,"IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P”, DI POTENZA COMPLESSIVA PARI A 140.868 KWP (95.000 KW IN IMMISSIONE)","IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 3”, DI POTENZA COMPLESSIVA PARI A 92.640,00 KWP (60.000 KW IN IMMISSIONE)",https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=854&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=857&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0
26,101,False,False,False,,,140.868,87.468,,,,,mw_conflict:140.868!=87.468,Sicilia,Sicilia,0,sicilia,sicilia,"IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P”, DI POTENZA COMPLESSIVA PARI A 140.868 KWP (95.000 KW IN IMMISSIONE)","IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 4”, DI POTENZA COMPLESSIVA PARI A 87.468,00 KWP (60.000 KW IN IMMISSIONE)",https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=854&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=859&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0
26,601,False,False,False,,,140.868,30.732,,,,,mw_conflict:140.868!=30.732,Sicilia,Sicilia,0,sicilia,sicilia,"IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P”, DI POTENZA COMPLESSIVA PARI A 140.868 KWP (95.000 KW IN IMMISSIONE)","IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 2”, DI POTENZA COMPLESSIVA PARI A 30.732 KWP (20.000 KW IN IMMISSIONE)",https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=854&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=856&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0
35,36,False,False,False,,,130.0,130.0,EN,PA,EN,PA,province_conflict:EN!=PA,Sicilia,Sicilia,0,mase_provvedimenti,mase_provvedimenti,"Provvedimento Unico in materia Ambientale (PNIEC-PNRR): Progetto di un impianto agrivoltaico denominato ""Bordonaro"", della potenza di 130 MW e delle relative opere di connessione alla RTN, da realizzarsi nei comuni di Gangi (PA), Enna (EN), Calascibetta (E","Provvedimento Unico in materia Ambientale (PNIEC-PNRR): Progetto di un impianto agrivoltaico denominato ""Bordonaro"", della potenza di 130 MW e delle relative opere di connessione alla RTN, da realizzarsi nei comuni di Gangi (PA), Enna (EN), Calascibetta (E",https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5967,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5967
42,152,False,False,False,,,120.046,75.16,FG,,FG,,mw_conflict:120.046!=75.16,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 282 del 21 Novembre 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 264 del 7 Novembre 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63780,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63763
42,204,False,False,False,,,120.046,66.0,FG,LE,FG,LE,province_conflict:FG!=LE,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 282 del 21 Novembre 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 293 del 28 Novembre 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63780,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63808
42,213,False,False,False,,,120.046,65.06,FG,FG,FG,FG,mw_conflict:120.046!=65.06,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 282 del 21 Novembre 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 276 del 12 Novembre 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63780,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63752
