project_name,proponent,region,province,municipalities,project_type,power_mw,status,source,url,updated_at
"Realizzazione ed esercizio di un Impianto Agrivoltaico a terra di potenza pari a 16,978 MWp ed opere connesse in loc. Borgo Pasubio",GINEVRA ENERGIA S.R.L.,Lazio,Latina,Pontinia,VIA,16.978,,lazio,https://regionelazio.app.box.com/v/VIA-024-2025,2026-04-26T08:07:23.243341
"Progetto per la realizzazione di un impianto agrivoltaico connesso alla RTN di potenza nominale pari a 25.000 kW e di picco pari a 26.480 kW”, in località Strada vicinale Ticchia",Ivab Solar 6 SRL,Lazio,Frosinone,Paliano,VIA,25.0,,lazio,https://eur05.safelinks.protection.outlook.com/?url=https%3A%2F%2Fregionelazio.box.com%2Fv%2FVIA-059-2024&data=05%7C02%7Credazioneweb%40regione.lazio.it%7C0586da202b784043485808de421104f7%7C64e64a64fc734b3c9278af7b68d66544%7C0%7C0%7C639020838164749528%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=kpYgXPFUQgU7V5x%2F9yREGZWGWGNJqi8L7lQFDx0nBZ0%3D&reserved=0,2026-04-26T08:07:23.247285
"Verifica – Impianto fotovoltaico denominato “Noragugume""",CCEN Noragugume S.r.l,Sardegna,,,VERIFICA,6.5835,Riavvio procedimento,sardegna,https://portal.sardegnasira.it/-/verifica-impianto-fotovoltaico-denominato-noragugume-,2026-04-26T08:08:43.673432
"[ID 2580] Realizzazione di Impianto Agrivoltaico a terra connesso alla RTN di Potenza pari a 51,13 MWp con Sistema di accumulo di Potenza pari a 40,8 MW e relative opere di connessione situato nel Comune/i di MANCIANO - Proponente: ITA 8 S.R.L.",ITA 8 S.R.L.,Toscana,GROSSETO,MANCIANO,Verifica di Assoggettabilità a VIA,51.13,Consultazione conclusa,toscana,https://servizi.patti.regione.toscana.it/star-info/avvisiPubblici?id=174,2026-04-26T08:08:44.882214
"Progetto di Impianto Fotovoltaico e opere di Urbanizzazione denominato "" LOTTI 1 E 2 DEL PEC ""8B1"""", TECHBAU GREEN ENERGY S.p.A., Santa Vittoria d'Alba (CN), ZSC IT 1160029 Colonie di chirotteri di Santa Vittoria e Monticello dAlba",TECHBAU GREEN ENERGY S.p.A,Piemonte,CN,SANTA VITTORIA D'ALBA,Valutazione di incidenza,,in_corso,piemonte,http://www.sistemapiemonte.it/skvia/HomePage.do?ricerca=ArchivioProgetti,2026-04-26T08:08:52.925037
"Realizzazione di un impianto agrofotovoltaico denominato “RIETI"" Determinazione G07005 del 04/06/2025 P.A.U.R. - Non favorevole (",FLORENERGY SRL,Lazio,Rieti,Rieti,VIA,,positivo,lazio,"https://regionelazio.box.com,SSL+VIA-027-2022",2026-04-26T08:07:23.418456
"PAUR per impianto agrivoltaico di produzione di energia elettrica da fonte solare di potenza 24,794 MWp, ubicato in aree idonee ai sensi dell'art. 20 comma 8 del D.lgs. 199/2021, nel Comune di Santa Maria La Fossa (Ce)",SINERGIA GP16 S.r.l.,Campania,,SANTA MARIA LA FOSSA,PAUR,24.794,,campania,http://viavas.regione.campania.it/opencms/opencms/VIAVAS/VIA_files_new/Progetti/prg_10124_prot_2025.189626_del_14-04-2025.via,2026-04-26T08:08:53.737845
"S, IMPIANTO FOTOVOLTAICO Fossano Solar 2, TECNO RG S.R.L., FOSSANO CN, ZPS IT 1160059 ZONE UMIDE DI FOSSANO E SANT'ALBANO STURA, ANCHE PARCO",TECNO RG S.R.L,Piemonte,,FOSSANO,Valutazione di incidenza,,CONCLUSA,piemonte,http://www.sistemapiemonte.it/skvia/HomePage.do?ricerca=ArchivioProgetti,2026-04-26T08:08:52.946940
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di impianto fotovoltaico con potenza nominale 65,8028 MWp e delle relative opere di connessione, da realizzarsi in località ""Sa Tanca de su Marchesu"", Comune di Uta (CA).",AGRISARD S.r.l.,Sardegna,CA,Uta,Valutazione Impatto Ambientale (PNIEC-PNRR),65.8028,negativo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/6038,2026-04-26T08:12:51.758158
"Realizzazione di un impianto agrivoltaico della potenza di picco pari a 9.989,3 kWp e potenza in immissione pari 9.950,4 kW in località Piano dei Dolci Determinazione n. G06525 del 15/05/2023 Favorevole con prescrizioni Provvedimento Autorizzatorio Unico Regionale n° 14316 del 30/10/2023",STN6 SRL,Lazio,Viterbo,Montefiascone,VIA,9.9893,positivo,lazio,"https://regionelazio.box.com,SSL+VIA-034-2022",2026-04-26T08:07:23.419900
"COSTRUZIONE ED ESERCIZIO DI UN IMPIANTO FOTOVOLTAICO DELLA POTENZA DI 3,762 MWp DA REALIZZARSI IN VIA DEI MONTI LEPINI S.N.C, CON LE RELATIVE OPERE DI CONNESSIONE ELETTRICHE DENOMINATO LEPINI Determinazione n. 13733 del 19/10/2023 - Favorevole con prescrizioni Determinazione n. G01780 del 21/02/2024 - Provvedimento Autorizzatorio Unico Regionale",MP SOLAR 1 SRL,Lazio,Latina,Latina,VIA,3.762,positivo,lazio,https://regionelazio.app.box.com/v/VIA-023-2022,2026-04-26T08:07:23.421336
"Progetto di un impianto per la produzione di energia elettrica da fonte rinnovabile solare fotovoltaica di potenza pari a 19,99 MWp (somma della potenza dei moduli) da realizzare nel Comune di Sant'Arcangelo (PZ) e delle relative opere di connessione alla RTN.",EG CELESTE S.R.L.,Basilicata,PZ,SANT'ARCANGELO,Verifica di Ottemperanza (PNIEC-PNRR),19.99,Verifica di Ottemperanza (PNIEC-PNRR),mase,https://va.mite.gov.it/it-IT/Oggetti/Info/8021,2026-04-26T08:09:47.800772
